,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Verified Standard ID - City/Town ID,Property Name,Address 1,City,County,State/Province,Postal Code,Year Built,Applicability,Applicability Details,Property Type ,Property GFA - Calculated (Buildings) (ft²),Estimated GFA (ft²),Latitude,Longitude
100160,3146 Sports Arena Blvd,3146 Sports Arena Blvd,San Diego,San Diego,CA,92110-4527,1970,Subject to Ordinance,,Strip Mall,62880,62880,32.75299,-117.20628
100161,La Jolla Corporate Center,3252 Holiday Ct,La Jolla,San Diego,CA,92037-0027,1982/2015,Subject to Ordinance,,Medical Office,63968,63968,32.87101,-117.23258
100162,3333 Camino Del Rio S,3333 Camino Del Rio S,San Diego,San Diego,CA,92108-3808,1980,Subject to Ordinance,,Office,56847,56847,32.77514,-117.12122
100163,70300201-Sports Arena,3345 Sports Arena Blvd,San Diego,San Diego,CA,92110,2011,Subject to Ordinance,,Supermarket/Grocery Store,58146,57531,32.75177,-117.21051
100164,3350 E St,3350 E St,San Diego,San Diego,CA,92102-3332,1988,Subject to Ordinance,,Manufacturing,51330,51330,32.71496,-117.122
100165,3350 Market St,3350 Market St,San Diego,San Diego,CA,92102-3347,1988,Subject to Ordinance,,Manufacturing,51000,51000,32.71197,-117.1215
100166,3350 Rosecrans St,3350 Rosecrans St,San Diego,San Diego,CA,92110,1987,Subject to Ordinance,,Multifamily Residence,60478,60478,32.74915,-117.20769
100167,3375 Camino Del Rio S,3375 Camino Del Rio S,San Diego,San Diego,CA,92108-3807,1972,Subject to Ordinance,,Office,53500,53500,32.77565,-117.12024
100168,3414-3420 College Ave,3414-3420 College Ave,San Diego,San Diego,CA,92115-7134,2001,Subject to Ordinance,,Retail/Residential,60128,60128,32.74395,-117.05349
101094,3750 Torrey View Ct,3750 Torrey View Ct,San Diego,San Diego,CA,92130-2622,2000,Subject to Ordinance,,Office,121578,102072,32.92183,-117.23234
100171,Balboa Nursing & Rehabilitation Center (bl084),3520 4th Ave,San Diego,San Diego,CA,92103,1957,Not Subject to Ordinance,"GFA ≤ 50,000 sqft",Senior Living Community,40000,59936,32.74193,-117.16187
100172,BMR-3525 John Hopkins LP,3525 John Hopkins Ct,San Diego,San Diego,CA,92121-1121,1991,Not Subject to Ordinance,"GFA ≤ 50,000 sqft",Mixed Use Property,48306,48306,32.89167,-117.23835
100173,Dorris Neuroscience Center ,3528 General Atomics Ct,San Diego,San Diego,CA,92121-1122,1999,Subject to Ordinance,,R&D,53000,53000,32.89461,-117.23764
100174,Torrey Pines Building 9,3550 General Atomics Ct.,San Diego,San Diego,CA,92121-1122,1991,Subject to Ordinance,,Other,665285,59081,32.89284,-117.23792
100176,"02118AS - San Diego, CA",3550 Murphy Canyon Rd,San Diego,San Diego,CA,92123,2006,Subject to Ordinance,,Supermarket/Grocery Store,57873,57875,32.80742,-117.11656
100177,3554-3590 Kettner Blvd,3554-3590 Kettner Blvd,San Diego,San Diego,CA,92101-1139,1977,Subject to Ordinance,,Manufacturing,64939,64939,32.73952,-117.1794
100178,3568-3574 Ruffin Rd S,3568-3574 Ruffin Rd S,San Diego,San Diego,CA,92123-2597,1978,Subject to Ordinance,,Non-Refrigerated Warehouse,55296,55256,32.80762,-117.12956
100179,3579 Valley Centre Dr,3579 Valley Centre Dr,San Diego,San Diego,CA,92130,1999,Subject to Ordinance,,Office,54340.2,52375,32.93664,-117.23632
100180,3630 Afton Rd,3630 Afton Rd,San Diego,San Diego,CA,92123-2101,1985,Subject to Ordinance,,R&D,52525,52525,32.80865,-117.14501
100181,3666 Kearny Villa Rd,3666 Kearny Villa Rd,San Diego,San Diego,CA,92123-1951,1982/2016,Subject to Ordinance,,Office,60000,60792,32.80679,-117.15083
100182,3678 Aero Ct,3678 Aero Ct,San Diego,San Diego,CA,92123-1788,2008,Subject to Ordinance,,Privet College/University,60020,60020,32.80898,-117.14913
100183,3701-3751 Rosecrans St,3751 Rosecrans St,San Diego,San Diego,CA,92110,1974,Subject to Ordinance,,Strip Mall,65037,59000,32.75125,-117.20336
100184,3737 Moraga Ave Building A,"3737 Moraga Ave, BLDG A",San Diego,San Diego,CA,92117,1965,Subject to Ordinance,,Medical Office,52448,52448,32.80932,-117.21027
100185,3737 Moraga Ave BLDG B,"3737 Moraga Ave, BLDG B",San Diego,San Diego,CA,92117-5404,1974,Subject to Ordinance,,Medical Office,115524,63076,32.8093,-117.20985
100463,Pacific Plaza C (Torrey Plaza),10935 Vista Sorrento Pkwy,San Diego,San Diego,CA,92130-2649,2000,Subject to Ordinance,,Office,75450,72151,32.91479,-117.22853
100464,Pacific Plaza B (Torrey Plaza),10945 Vista Sorrento Pkwy,San Diego,San Diego,CA,92130-8649,2000,Subject to Ordinance,,Office,89132,86261,32.91556,-117.22906
100188,CA2371 - CARMEL VALLEY MEDICAL OFFICES,3851 Shaw Ridge Rd.,San Diego,San Diego,CA,92130,2013,Subject to Ordinance,,Medical Office,50469,50000,32.93489,-117.22975
100189,3855 Health Sciences Dr,3855 Health Sciences Dr,La Jolla,San Diego,CA,92037,2005,Subject to Ordinance,,Medical Office,61600,61600,32.8786,-117.22311
100190,SeeScan,3855 Ruffin Rd,San Diego,San Diego,CA,92123-1813,1971,Not Subject to Ordinance,GFA > 50% lab Manufacturing Industrial,Warehouse,63641,63641,32.81287,-117.1197
