OID_,OSHPD_ID,PERM_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
641,406371868.000000000000000,,ASSISTIVE HEALTH SYSTEMS INC.,550004572.000000000000000,Home Health Agency,4540 KEARNY VILLA RD,SAN DIEGO,92123.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,8/27/2019 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.822449100000000,-117.144766000000004
642,406371925.000000000000000,,LA PAZ HOSPICE INC,550004941.000000000000000,Hospice,2831 CAMINO DEL RIO SOUTH,SAN DIEGO,92108.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,8/27/2019 0:00:00,Home Health Agency/Hospice,Hospice,32.769400300000001,-117.133277100000001
643,406371970.000000000000000,,AEGIS HEALTH LLC,550004996.000000000000000,Home Health Agency,355 K ST,CHULA VISTA,91911.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,9/7/2024 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.623836900000001,-117.075500800000000
644,406372026.000000000000000,,HEALTH SHIELD HOME HEALTH SERVICES,550005070.000000000000000,Home Health Agency,3914 MURPHY CANYON RD,SAN DIEGO,92123.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,11/4/2019 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.815694299999997,-117.117605100000006
645,406372150.000000000000000,,SHIELD HOSPICE,550005166.000000000000000,Hospice,7940 SILVERTON AVE.,SAN DIEGO,92126.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,10/12/2019 0:00:00,Home Health Agency/Hospice,Hospice,32.891439499999997,-117.150510299999993
646,406372413.000000000000000,,THE HOSPICE OF SAN DIEGO,550004711.000000000000000,Hospice,9285 Dowdy Dr,San Diego,92126.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,4/17/2019 0:00:00,Home Health Agency/Hospice,Hospice,32.890647399999999,-117.146489299999999
647,406372456.000000000000000,,"ABSALOM HOME HEALTH AGENCY, LLC",550005251.000000000000000,Home Health Agency,1283 E MAIN ST,EL CAJON,92021.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,1/27/2020 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.794583400000000,-116.936809400000001
648,406372625.000000000000000,,CALSTRO HOSPICE SAN DIEGO,550004507.000000000000000,Hospice,4849 RONSON CT,SAN DIEGO,92111.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,10/9/2022 0:00:00,Home Health Agency/Hospice,Hospice,32.830181000000003,-117.144760000000005
649,406372656.000000000000000,,DIVINE LIGHT HOSPICE,550005046.000000000000000,Hospice,2535 CAMINO DEL RIO S,SAN DIEGO,92108.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,10/28/2023 0:00:00,Home Health Agency/Hospice,Hospice,32.769592600000003,-117.135908099999995
650,406372763.000000000000000,,DIRECT CARE NURSING CORPORATION,550005582.000000000000000,Home Health Agency,739 E PENNSYLVANIA AVE,ESCONDIDO,92025.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,7/17/2021 0:00:00,Home Health Agency/Hospice,Home Health Agency,33.126820000000002,-117.072616199999999
651,406372876.000000000000000,,"SAINT FRANCIS HEALTHCARE, INC.",550003379.000000000000000,Home Health Agency,5119 GARFIELD ST,LA MESA,91941.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,9/24/2020 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.771982199999997,-117.005545699999999
652,406372902.000000000000000,,"COMPLETE CAREGIVER, INC",550005778.000000000000000,Home Health Agency,1901 1ST AVE,SAN DIEGO,92101.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,10/7/2020 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.725621599999997,-117.163652499999998
653,406372924.000000000000000,,ASSISTIVE HOSPICE AND PALLIATIVE CARE,550005762.000000000000000,Hospice,4540 KEARNY VILLA RD,SAN DIEGO,92123.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,9/18/2020 0:00:00,Home Health Agency/Hospice,Hospice,32.822449100000000,-117.144766000000004
654,406372978.000000000000000,,"MONARCH HOME HEALTH SERVICES, LLC",550005846.000000000000000,Home Health Agency,2941 4TH AVE,SAN DIEGO,92103.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,11/18/2020 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.736187999999999,-117.160964399999997
655,406372979.000000000000000,,BRIGHTSTAR CARE OF CARLSBAD,550005848.000000000000000,Home Health Agency,2185 FARADAY AVE,CARLSBAD,92008.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,11/11/2020 0:00:00,Home Health Agency/Hospice,Home Health Agency,33.134116300000002,-117.281522100000004
656,406373031.000000000000000,,BRIGHTSTAR CARE OF CARMEL VALLEY & RANCHO SANTA FE,550005905.000000000000000,Home Health Agency,9672 VIA EXCELENCIA,SAN DIEGO,92126.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,12/3/2020 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.898840700000001,-117.117795400000006
657,406373035.000000000000000,,SEACREST HOME HEALTH,550006141.000000000000000,Home Health Agency,211 SAXONY RD,ENCINITAS,92024.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,9/23/2021 0:00:00,Home Health Agency/Hospice,Home Health Agency,33.052307900000002,-117.285103399999997
658,406373219.000000000000000,,ELITE HOSPICE AND PALLIATIVE CARE LLC,550006245.000000000000000,Hospice,106 S GRAPE ST,ESCONDIDO,92025.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,4/28/2023 0:00:00,Home Health Agency/Hospice,Hospice,33.124184999999997,-117.074041800000003
659,406373247.000000000000000,,"COMPASSIONATE PALLIATIVE CARE, INC",550006639.000000000000000,Hospice,10251 VISTA SORRENTO PKWY,SAN DIEGO,92121.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,8/3/2021 0:00:00,Home Health Agency/Hospice,Hospice,32.895580699999996,-117.213915999999998
660,406373251.000000000000000,,"LA JOLLA HOSPICE, INC.",550006642.000000000000000,Hospice,10251 VISTA SORRENTO PKWY,SAN DIEGO,92121.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,8/3/2021 0:00:00,Home Health Agency/Hospice,Hospice,32.895580699999996,-117.213915999999998
661,406373351.000000000000000,,"LIFE CARE HOME HEALTH SERVICES, LLC",550007098.000000000000000,Home Health Agency,205 W 5TH AVE,ESCONDIDO,92025.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,9/29/2021 0:00:00,Home Health Agency/Hospice,Home Health Agency,33.116911299999998,-117.080303200000003
662,406373383.000000000000000,,"PHYSICIAN'S CHOICE HOSPICE CARE, INC.",550007007.000000000000000,Hospice,3645 RUFFIN RD,SAN DIEGO,92123.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,10/20/2021 0:00:00,Home Health Agency/Hospice,Hospice,32.810087799999998,-117.119026899999994
663,406373445.000000000000000,,CITY BEST HOSPICE CARE,550006746.000000000000000,Hospice,3914 MURPHY CANYON RD,SAN DIEGO,92123.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,9/2/2021 0:00:00,Home Health Agency/Hospice,Hospice,32.815694299999997,-117.117605100000006
664,406373475.000000000000000,,GLORY HOSPICE,550006722.000000000000000,Hospice,410 S MELROSE DR,VISTA,92081.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,8/16/2021 0:00:00,Home Health Agency/Hospice,Hospice,33.190610200000002,-117.253001900000001
665,406373494.000000000000000,,"AMA HOSPICS CARE, INC.",550006256.000000000000000,Hospice,350 10th Ave,San Diego,92101.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,4/14/2021 0:00:00,Home Health Agency/Hospice,Hospice,32.708867599999998,-117.156024599999995
