objectid,site_code,common_nm,managing_dept,location,cmty_plan,desg_use,site_acres,dedicated_park,pud_branch,site_restriction,reso_ord_num,reso_ord_dt,globalid,shape_Length,shape_Area
908,S731PM,SITE 735,PUD - Water,65TH & HERRICK STS NE COR,Encanto,NOTDESG,0.051000000000000,N,WATER,NONE,R-279820,04/27/1992,{A8CDC237-9606-4DA2-9984-AC8C384A6CAE},259.576379032050852,2169.751586718753970
909,R550PM,SITE 255,Real Estate,REDWOOD & 32ND STS NW COR,Greater North Park,UREV,0.143000000000000,N,,NONE,R-276627,10/01/1990,{9A68BEB2-72BA-4B05-9748-911944262F46},349.520833600668766,6231.710643611190790
910,K302MM,SEWER PUMP ST64 FORCE MA2,PUD - Wastewater,ROSELLE ST IN SORRENTO VALLEY,Torrey Pines,SWR,15.070000000000000,N,WASTE,NONE,R-264694,11/02/1987,{2D422CC2-5718-45A3-9E9A-F63D73780B1B},3785.689163897362960,656489.793692979030311
911,S572RD,L ST MINI-PARK,Parks & Recreation,L ST & 28TH SE COR,Southeastern San Diego,MPARK,0.153000000000000,Y,,DEDOS,O-15726,04/05/1982,{BFD8A67A-1743-4983-B39B-FE07CA2BA8BC},374.374427525789827,6588.156389190907248
912,P713WP,EL MONTE PIPELINE,PUD - Water,LAKE MUR BLV SLY;LK PK WY NWLY,Co-La Mesa,WTRPIPE,0.410000000000000,N,WATER,SFR,R-84922,12/31/1946,{580DF884-35B5-4E76-99A8-F872FE0A20B7},645.147535897953276,20788.485931057450216
913,N405RD,OLIVE GROVE COMMUNITY PK,Parks & Recreation,MT ABERNATHY & PRINTWOOD WY,Clairemont Mesa,CMTYPK,9.236000000000001,Y,,DEDOS,O-11424,10/24/1974,{E551C9D0-AE80-4695-BAAA-EE44F7AB01E1},2517.864380871630601,399711.790010148717556
914,I602RO,SCRIPPS MIRAMAR OPEN SPACE,Parks & Recreation,SPRING CANYON RD NLY OF,Scripps Miramar Rch,OSDED,12.204000000000001,Y,,SFR,O-16901,07/13/1987,{4535BFC6-6307-4EF7-9AC5-D0569BB50F91},4138.208840525018786,529861.985517118708231
915,J501RD,MIRA MESA COMMUNITY PARK,Parks & Recreation,MIRA MESA BLVD & NEW SALEM ST,Mira Mesa,CMTYPK,16.940000000000001,Y,,DEDOS,O-15702,04/05/1982,{675F7515-CB0E-4398-BB49-4AFBFC23EF33},3598.539847833123531,785830.430956401862204
916,I202GM,SITE 698,Transportation,VIA ESPERIA NLY VIA APRILIA,Torrey Pines,STREET,0.003000000000000,N,WATER,UNK,R-250863,12/17/1979,{BA801204-71CA-42DD-8E11-C9C3EC5A3163},47.998975484512215,143.991236149275352
917,N612RO,TIERRASANTA OPEN SPACE,Parks & Recreation,TIERRASANTA RD ELY RUEDA,Tierrasanta,OSDED,17.260000000000002,Y,,DEDOS,R-307952,01/02/2013,{54DC8C15-BF10-4989-BFE7-5E2268D722A7},6140.560104137955022,746205.324311941396445
