ein,org_city,org_state,org_zip,subsection_code,latest_tax_year,latest_total_revenue,latest_total_expenses,latest_total_assets,status
953284521,San Diego,CA,92113-2047,3,2023.0,785890.0,925067.0,834136.0,
330488298,San Diego,CA,92101-3552,3,2023.0,1105806.0,989619.0,297460.0,
953477071,San Diego,CA,92105-1696,3,2024.0,833276.0,762918.0,607143.0,
330907092,San Diego,CA,92106-6138,3,2023.0,1026080.0,723115.0,5738521.0,
953699122,San Diego,CA,92101-3585,3,2023.0,712398.0,541835.0,1091355.0,
953405753,San Diego,CA,92168-1456,3,2023.0,1489809.0,645233.0,1640965.0,
952856451,San Diego,CA,92101-7233,3,2023.0,597608.0,387855.0,11025900.0,
201863911,San Diego,CA,92121-4701,3,2023.0,439308.0,357081.0,2521354.0,
832581315,San Diego,CA,92106-6145,3,2023.0,359936.0,346597.0,286354.0,
571200845,San Diego,CA,92107-3763,3,2024.0,541597.0,541487.0,74528.0,
237451291,San Diego,CA,92108-3604,3,2024.0,473058.0,458726.0,307944.0,
237112940,San Diego,CA,92106-6172,3,2023.0,700835.0,526140.0,252815.0,
953153264,San Diego,CA,92106-6147,3,2024.0,421311.0,451939.0,555536.0,
330439092,San Diego,CA,92103-3193,3,2024.0,544218.0,469364.0,868240.0,
260577630,San Diego,CA,92130-1407,3,2023.0,387928.0,402857.0,250169.0,
330724932,San Diego,CA,92123-4301,3,2023.0,420291.0,371781.0,232272.0,
821998118,San Diego,CA,92195-3773,3,2023.0,187703.0,229036.0,66336.0,
462537706,San Diego,CA,92130-6650,3,2023.0,264331.0,279417.0,570473.0,
274171187,San Diego,CA,92172-1030,3,2022.0,266545.0,223834.0,4261.0,
330475238,San Diego,CA,92103-1820,3,2023.0,766075.0,385865.0,617998.0,
201202924,San Diego,CA,92106-6013,3,2024.0,255503.0,261186.0,47369.0,
330676518,San Diego,CA,92123-1734,3,2023.0,179486.0,290631.0,831194.0,
