ein,strein,name,sub_name,city,state,ntee_code,subseccd,score,search_query,org_city,org_state,org_zip,subsection_code,latest_tax_year,latest_total_revenue,latest_total_expenses,latest_total_assets,status
330907092,33-0907092,San Diego Womens Foundation,San Diego Womens Foundation,San Diego,CA,T11,3,86.63316,san diego,San Diego,CA,92106-6138,3,2023.0,1026080.0,723115.0,5738521.0,
953699122,95-3699122,Lead San Diego Inc,Lead San Diego Inc,San Diego,CA,,3,86.63316,san diego,San Diego,CA,92101-3585,3,2023.0,712398.0,541835.0,1091355.0,
953405753,95-3405753,San Diego Nice Guys,San Diego Nice Guys,San Diego,CA,Z99,3,86.63316,san diego,San Diego,CA,92168-1456,3,2023.0,1489809.0,645233.0,1640965.0,
952856451,95-2856451,San Diego Sports Association,San Diego Sports Association,San Diego,CA,A500,3,86.63316,san diego,San Diego,CA,92101-7233,3,2023.0,597608.0,387855.0,11025900.0,
201863911,20-1863911,San Diego Spine Foundation,San Diego Spine Foundation,San Diego,CA,G055,3,86.63316,san diego,San Diego,CA,92121-4701,3,2023.0,439308.0,357081.0,2521354.0,
832581315,83-2581315,San Diego Craft Collective,San Diego Craft Collective,San Diego,CA,A20,3,86.63316,san diego,San Diego,CA,92106-6145,3,2023.0,359936.0,346597.0,286354.0,
571200845,57-1200845,Bach Collegium San Diego,Bach Collegium San Diego,San Diego,CA,,3,86.63316,san diego,San Diego,CA,92107-3763,3,2024.0,541597.0,541487.0,74528.0,
237451291,23-7451291,San Diego Master Chorale,San Diego Master Chorale,San Diego,CA,,3,86.63316,san diego,San Diego,CA,92108-3604,3,2024.0,473058.0,458726.0,307944.0,
237112940,23-7112940,San Diego Dance Theater,San Diego Dance Theater,San Diego,CA,,3,86.63316,san diego,San Diego,CA,92106-6172,3,2023.0,700835.0,526140.0,252815.0,
953153264,95-3153264,San Diego Watercolor Society,San Diego Watercolor Society,San Diego,CA,A400,3,86.63316,san diego,San Diego,CA,92106-6147,3,2024.0,421311.0,451939.0,555536.0,
330439092,33-0439092,Being Alive San Diego,Being Alive San Diego,San Diego,CA,G81Z,3,86.63316,san diego,San Diego,CA,92103-3193,3,2024.0,544218.0,469364.0,868240.0,
260577630,26-0577630,San Diego Rhythms Inc,San Diego Rhythms Inc,San Diego,CA,N60,3,86.63316,san diego,San Diego,CA,92130-1407,3,2023.0,387928.0,402857.0,250169.0,
330724932,33-0724932,Kids Turn San Diego,Kids Turn San Diego,San Diego,CA,P460,3,86.63316,san diego,San Diego,CA,92123-4301,3,2023.0,420291.0,371781.0,232272.0,
